R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Womens Flyweight_rank,R_Womens Featherweight_rank,R_Womens Strawweight_rank,R_Womens Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Womens Flyweight_rank,B_Womens Featherweight_rank,B_Womens Strawweight_rank,B_Womens Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds,fight_id
Diego Sanchez,Joe Lauzon,-125,105,80,105,7/9/2016,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Lightweight,MALE,3,1,0,0,19.45,0.4245,1.3,1.2,0.4,3,8,39,0,0,0,1,3,7,1,12,Orthodox,177.8,180.34,155,0,1,0,36.13043478,0.376956522,0.782608696,1.217391304,0.269130435,6,8,64,2,0,3,7,5,0,0,15,Southpaw,177.8,182.88,170,34,32,-1,-1,-3,-3,0,-25,-2,-1,7,0,-2.54,2,-16.68043478,0.517391304,-0.017391304,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,1:26,86,175,180,900,625,575,550,2395
Gegard Mousasi,Thiago Santos,-290,245,34.48275862,245,7/9/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Middleweight,MALE,3,0,4,0,20.28571429,0.458571429,0,0.142857143,0.071428571,4,2,11,0,0,0,1,4,0,0,5,Orthodox,187.96,193.04,205,0,1,0,39.75,0.4925,0.375,0.625,0.25,2,3,21,0,0,0,3,1,1,0,5,Orthodox,187.96,193.04,185,30,32,0,3,2,0,1,-10,0,3,-1,0,0,-2,-19.46428571,-0.375,-0.482142857,0,1,15,8,,,,,,,8,,,,,,,,,,,,,15,,,,,,,Red,KO/TKO,Punch,1,4:32,272,187,461,350,1378,300,450,2394
Jim Miller,Takanori Gomi,-290,245,34.48275862,245,7/9/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE,3,2,0,0,36.4,0.319,0,0.1,0.05,2,6,20,0,0,1,1,2,0,0,4,Southpaw,170.18,177.8,155,2,0,0,26.86363636,0.358636364,1.590909091,1.181818182,0.417727273,7,8,52,0,0,1,5,2,6,0,14,Southpaw,172.72,180.34,155,32,37,0,0,-5,-10,2,-32,0,0,-6,-2.54,-2.54,-5,9.53636364,-1.590909091,-1.081818182,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,2:18,138,350,440,125,2250,660,580,2393
Joanna Jedrzejczyk,Claudia Gadelha,-130,110,76.92307692,110,7/8/2016,"Las Vegas, Nevada, USA", USA,Red,TRUE,Women's Strawweight,FEMALE,5,0,1,0,69.33333333,0.413333333,1,5.333333333,0.753333333,1,1,9,0,0,0,2,0,0,0,2,Orthodox,162.56,160.02,115,0,5,0,96.6,0.434,0,0,0,5,0,16,3,0,1,2,2,0,0,5,Orthodox,167.64,165.1,125,28,27,0,-4,-4,-3,-1,-7,-3,-2,0,-5.08,-5.08,1,-27.26666667,1,5.333333333,0,1,1,0,,,0,,,,,,,,,,12,,,1,,,,,,,,,,,Red,U-DEC,,5,5:00,1500,180,190,1800,575,375,1000,2392
Andrew Sanchez,Khalil Rountree Jr.,-160,140,62.5,140,7/8/2016,"Las Vegas, Nevada, USA", USA,Red,TRUE,Light Heavyweight,MALE,4,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,185.42,193.04,205,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,185,28,26,0,0,0,0,0,0,0,0,0,0,5.08,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,252,,180,,450,,2391
Tatiana Suarez,Amanda Cooper,-370,310,27.02702703,310,7/8/2016,"Las Vegas, Nevada, USA", USA,Red,TRUE,Women's Strawweight,FEMALE,4,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,160.02,162.56,115,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,165.1,167.64,115,25,24,0,0,0,0,0,0,0,0,0,-5.08,-5.08,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,D'Arce Choke,1,3:43,223,123,541,250,1000,500,1000,2390
Ross Pearson,Will Brooks,305,-365,305,27.39726027,7/8/2016,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,155,0,1,0,41.21052632,0.422105263,0,0.684210526,0.368421053,3,8,48,1,0,2,4,4,0,1,11,Orthodox,172.72,175.26,155,31,29,0,-1,-3,-11,8,-48,-1,-5,0,5.08,7.62,2,-41.21052632,0,-0.684210526,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,425,-114,2000,460,725,503,2389
Dooho Choi,Thiago Tavares,-220,180,45.45454545,180,7/8/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Featherweight,MALE,3,0,1,0,19.23529412,0.429411765,0.941176471,2.352941176,0.464705882,2,7,37,0,0,0,4,1,5,0,10,Orthodox,170.18,172.72,145,0,2,0,14,0.675,0,0,0,2,0,2,0,0,0,0,2,0,0,2,Orthodox,177.8,177.8,145,25,31,0,-1,0,8,-7,35,0,-1,5,-7.62,-5.08,-6,5.23529412,0.941176471,2.352941176,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,2:42,162,723,630,2000,350,-146,785,2388
Joaquim Silva,Andrew Holbrook,115,-135,115,74.07407407,7/8/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE,3,0,1,0,20,0.51,2,0,0,1,0,3,0,0,1,0,0,0,0,1,Southpaw,180.34,177.8,155,0,1,0,49,0.3,0,0,0,1,0,3,0,0,1,0,0,0,0,1,Orthodox,172.72,175.26,155,27,30,0,0,0,0,0,0,0,0,0,7.62,2.54,-3,-29,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,0:34,34,220,324,635,320,405,813,2387
Gray Maynard,Fernando Bruno,-165,145,60.60606061,145,7/8/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Featherweight,MALE,3,1,0,0,20,0.62,0,2,0.18,0,1,3,1,0,0,0,0,0,0,0,Southpaw,167.64,177.8,145,4,0,0,26.375,0.365,0.5625,2.25,0.445625,8,7,45,2,0,3,5,1,0,0,9,Orthodox,175.26,177.8,155,37,34,3,0,-8,-9,6,-42,-1,-1,0,-7.62,0,3,-6.375,-0.5625,-0.25,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,170,360,586,935,445,430,2386
John Moraga,Matheus Nicolau,-140,120,71.42857143,120,7/8/2016,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Flyweight,MALE,3,0,1,0,46,0.59,3,3,0.75,1,0,3,0,0,0,0,0,1,0,1,Orthodox,167.64,167.64,125,1,0,0,30.625,0.42,0.75,0.5,0.18125,2,3,22,1,0,1,0,1,3,0,5,Orthodox,167.64,167.64,125,32,23,1,1,-1,-4,3,-19,-1,-1,-2,0,0,9,15.375,2.25,2.5,0,1,,6,,,,,,,,,,,,6,,,,,,,,,,,,,,,Red,,,,,,180,235,527,765,505,720,2385
Cory Hendricks,Josh Stansbury,-145,125,68.96551724,125,7/8/2016,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Light Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,187.96,205,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,196,205,28,31,0,0,0,0,0,0,0,0,0,-2.54,-8.04,-3,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,M-DEC,,3,5:00,900,245,308,300,701,520,385,2384
Cezar Ferreira,Anthony Smith,-115,-105,86.95652174,95.23809524,7/8/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Middleweight,MALE,3,0,1,0,31,0.41,0,1,0.2,1,1,4,0,0,0,1,0,0,0,1,Orthodox,193.04,193.04,205,0,1,0,16.125,0.39375,0.125,1.125,0.2725,3,3,16,1,0,1,3,0,1,0,5,Southpaw,185.42,198.12,185,31,27,0,0,-2,-4,2,-12,-1,0,-1,7.62,-5.08,4,14.875,-0.125,-0.125,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,445,791,350,670,610,155,2383
Jake Matthews,Kevin Lee,-160,140,62.5,140,7/8/2016,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Lightweight,MALE,3,0,1,0,43.85714286,0.358571429,1,2.142857143,0.348571429,4,2,17,0,0,1,3,0,1,0,5,Orthodox,175.26,195.58,170,0,2,0,37.6,0.438,0.8,1.4,0.338,2,1,11,0,0,0,0,0,3,1,4,Orthodox,180.34,185.42,170,21,23,0,-1,2,1,-1,6,0,-1,-2,-5.08,10.16,-2,6.25714286,0.2,0.742857143,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,4:06,246,210,205,505,840,350,700,2382
Li Jingliang,Anton Zafir,-310,255,32.25806452,255,7/8/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Welterweight,MALE,3,1,0,0,17,0.68,0,1,0.33,0,1,1,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,170,1,0,0,49,0.39,0,1.25,0.395,1,2,10,0,0,1,0,1,0,0,2,Orthodox,182.88,180.34,170,28,29,0,0,-1,-2,1,-9,0,-1,0,-2.54,2.54,-1,-32,0,-0.25,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,237,630,550,745,130,1095,2381
Rafael Dos Anjos,Eddie Alvarez,-290,245,34.48275862,245,7/7/2016,"Las Vegas, Nevada, USA", USA,Blue,TRUE,Lightweight,MALE,5,0,2,0,40.33333333,0.426666667,0,3,0.223333333,2,1,9,0,0,2,0,0,0,0,2,Orthodox,175.26,175.26,155,0,5,0,35.78947368,0.424736842,0.631578947,2.052631579,0.354210526,5,5,49,2,0,0,8,4,2,0,14,Southpaw,172.72,177.8,170,31,32,0,-3,-3,-12,4,-40,-2,-4,-2,2.54,-2.54,-1,4.54385965,-0.631578947,0.947368421,0,1,2,0,,,,,,,,,0,,,,5,,,,,,,,,2,,,,,Red,KO/TKO,Punches,1,3:49,229,260,580,295,2275,170,510,2380
Roy Nelson,Derrick Lewis,-130,110,76.92307692,110,7/7/2016,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Heavyweight,MALE,3,0,3,0,20,0.60875,0,0.375,0.3125,3,2,12,0,0,0,0,6,0,0,6,Orthodox,190.5,200.66,260,0,1,0,22.9375,0.38375,0.0625,0.5,0.12875,3,8,37,1,0,0,1,7,0,0,8,Orthodox,182.88,182.88,263,40,31,0,2,0,-2,6,-25,-1,-1,0,7.62,17.78,9,-2.9375,-0.0625,-0.125,0,1,12,10,,,,,10,,,,,,,,,,,,,12,,,,,,,,,Red,S-DEC,,3,5:00,900,800,590,913,1945,120,155,2379
Alan Jouban,Belal Muhammad,-145,125,68.96551724,125,7/7/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Welterweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,170,0,1,0,36,0.558333333,0,0.166666667,0.166666667,2,2,10,0,0,0,1,3,0,0,4,Southpaw,182.88,185.42,170,34,27,0,-1,-2,-4,2,-10,0,-3,0,-2.54,-2.54,7,-36,0,-0.166666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,260,185,1020,1260,265,510,2378
Joe Duffy,Mitch Clarke,-440,390,22.72727273,390,7/7/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE,3,1,0,0,27.4,0.336,0.4,0.6,0.074,2,3,13,0,0,0,1,0,1,0,2,Orthodox,177.8,185.42,155,1,0,0,20,0.336666667,0.666666667,0,0,2,1,5,0,0,0,0,1,1,0,2,Orthodox,177.8,185.42,155,28,30,0,0,0,0,-2,8,0,-1,0,0,0,-2,7.4,-0.266666667,0.6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1,0:25,25,175,925,350,875,170,925,2377
Mike Pyle,Alberto Mina,-125,105,80,105,7/7/2016,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Welterweight,MALE,3,0,2,0,51.5,0.515,0,1,0.065,2,0,4,0,0,1,0,1,0,0,2,Orthodox,182.88,195.58,170,0,1,0,23.25,0.410625,0.8125,1,0.236875,4,6,33,0,0,1,2,5,2,0,10,Orthodox,182.88,187.96,170,40,34,0,1,-2,-8,6,-29,0,-4,-2,0,7.62,6,28.25,-0.8125,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Flying Knee,2,1:17,377,251,560,525,837,350,190,2376
John Makdessi,Mehdi Baghdad,-130,110,76.92307692,110,7/7/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE,3,1,0,0,1,0.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,155,2,0,0,58.81818182,0.451818182,0,0,0,3,5,26,0,0,0,3,3,0,0,6,Orthodox,172.72,172.72,155,31,31,1,0,-3,-6,4,-25,0,-3,0,12.7,17.78,0,-57.81818182,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,169,200,1530,1430,370,400,2375
Anthony Birchak,Dileno Lopes,-250,210,40,210,7/7/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE,3,1,0,0,46,0.42,3,3,0.75,0,1,3,1,0,0,0,0,0,0,0,Southpaw,165.1,165.1,135,1,0,0,15.66666667,0.38,0,0.333333333,0.333333333,1,2,3,0,0,0,0,1,0,0,1,Orthodox,172.72,175.26,135,30,31,0,0,-1,-1,1,0,1,-1,0,-7.62,-10.16,-1,30.33333333,3,2.666666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,143,442,600,682,300,785,2374
Russell Doane,Pedro Munhoz,200,-240,200,41.66666667,7/7/2016,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Bantamweight,MALE,3,2,0,0,31.25,0.56,0.75,0.5,0.25,1,3,8,0,0,0,0,1,0,0,1,Orthodox,167.64,165.1,135,2,0,0,23.5,0.4175,1,2.5,0.3325,2,2,11,0,0,1,0,0,1,0,2,Orthodox,170.18,177.8,135,29,29,0,0,-1,-1,-1,-3,0,1,-1,-2.54,-12.7,0,7.75,-0.25,-2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,1,2:08,128,320,155,1140,310,775,645,2373
Felipe Arantes,Jerrod Sanders,-155,135,64.51612903,135,7/7/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE,3,0,1,0,6,0.613333333,1,1,0.123333333,1,2,5,0,0,0,1,0,0,0,1,Orthodox,172.72,182.88,135,0,1,0,31.75,0.54,0.5,1.125,0.31625,1,4,20,0,0,0,2,1,1,0,4,Orthodox,172.72,185.42,135,28,36,0,0,0,-3,2,-15,0,-1,-1,0,-2.54,-8,-25.75,0.5,-0.125,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,2,1:39,399,261,200,400,1085,315,1075,2372
Gilbert Burns,Lukasz Sajewski,-265,225,37.73584906,225,7/7/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE,3,1,0,0,26,0.3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,155,1,0,0,24,0.395,1,1.75,0.5,3,1,10,0,0,0,1,0,2,0,3,Orthodox,177.8,180.34,155,29,25,0,0,-3,-3,0,-7,0,0,-2,-5.08,0,4,2,-1,-1.75,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,1,4:57,297,144,370,220,1295,907,975,2371
Marco Beltran,Reginaldo Vieira,105,-125,105,80,7/7/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE,3,0,1,0,59,0.56,2,0,0,1,0,3,1,0,0,1,0,0,0,1,Orthodox,170.18,165.1,135,0,2,0,30.5,0.415,0,1,0.625,2,0,6,0,0,1,1,0,0,0,2,Orthodox,172.72,175.26,125,30,33,0,-1,-1,-1,0,-3,1,0,0,-2.54,-10.16,-3,28.5,2,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2,3:04,484,200,236,1105,320,700,700,2370
Vicente Luque,Alvaro Herrera,-375,313,26.66666667,313,7/7/2016,"Las Vegas, Nevada, USA", USA,Red,FALSE,Welterweight,MALE,3,0,1,0,4,0.44,0,0,0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,182.88,187.96,155,0,1,0,20,0.475,1,0,0,1,1,4,0,0,0,0,0,1,0,1,Orthodox,180.34,190.5,170,24,26,0,0,0,0,1,-3,0,1,-1,2.54,-2.54,-2,-16,-1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,304,900,160,1130,230,645,2369
Rory MacDonald,Stephen Thompson,-105,-115,95.23809524,86.95652174,6/18/2016,"Ottawa, Ontario, Canada", Canada,Blue,FALSE,Welterweight,MALE,5,0,6,0,40.375,0.52,0,0.625,0.22875,6,1,15,0,0,0,2,5,0,0,7,Orthodox,182.88,190.5,170,1,0,0,50.5,0.444166667,0.416666667,1.75,0.379166667,5,3,33,1,0,0,5,3,1,0,9,Orthodox,182.88,193.04,170,26,33,1,6,1,-2,2,-18,-1,2,-1,0,-2.54,-7,-10.125,-0.416666667,-1.125,0,1,2,1,,,,,,,,1,,,,,,,,,,,,,2,,,,,,Red,U-DEC,,5,5:00,1500,,250,,1200,,150,2368
Donald Cerrone,Patrick Cote,-170,150,58.82352941,150,6/18/2016,"Ottawa, Ontario, Canada", Canada,Red,FALSE,Welterweight,MALE,3,0,3,0,30.10526316,0.46,0.210526316,0.526315789,0.14,4,9,47,2,0,1,4,4,0,0,10,Orthodox,180.34,180.34,170,0,1,0,41.4,0.4855,0.4,0.7,0.2895,8,4,40,1,0,0,6,5,5,0,16,Orthodox,185.42,185.42,155,33,36,0,2,-4,-6,-5,7,1,-1,-5,-5.08,-5.08,-3,-11.29473684,-0.189473684,-0.173684211,0,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,3,2:35,755,175,200,450,1000,300,350,2367
Steve Bosse,Sean O'Connell,-135,115,74.07407407,115,6/18/2016,"Ottawa, Ontario, Canada", Canada,Red,FALSE,Light Heavyweight,MALE,3,1,0,0,42.2,0.476,0.4,0,0,2,3,9,0,0,0,0,2,0,0,2,Orthodox,185.42,187.96,205,0,1,0,2.5,0.205,0,0,0,1,1,2,0,0,0,0,1,0,0,1,Orthodox,180.34,182.88,205,34,32,-1,-1,1,1,-2,7,0,1,0,5.08,5.08,2,39.7,0.4,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,750,600,800,900,-125,200,2366
Olivier Aubin-Mercier,Thibault Gouti,-470,375,21.27659574,375,6/18/2016,"Ottawa, Ontario, Canada", Canada,Red,FALSE,Lightweight,MALE,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,155,1,0,0,35.4,0.494,0.4,2.8,0.324,3,2,14,1,0,0,1,0,2,0,3,Southpaw,175.26,177.8,155,27,29,0,0,-3,-3,1,-13,-1,0,-2,2.54,5.08,-2,-35.4,-0.4,-2.8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,3,2:28,748,243,917,105,1295,600,885,2365
Valerie Letourneau,Joanne Calderwood,-150,130,66.66666667,130,6/18/2016,"Ottawa, Ontario, Canada", Canada,Blue,FALSE,Women's Flyweight,FEMALE,3,0,1,0,70,0.523333333,0,1.666666667,0.416666667,1,1,7,0,0,0,2,0,0,0,2,Orthodox,167.64,165.1,125,1,0,0,78.5,0.365,0.5,1,0.55,3,1,14,1,0,1,2,0,0,0,3,Orthodox,170.18,172.72,115,33,30,1,1,-2,-1,0,-7,-1,0,0,-2.54,-7.62,3,-8.5,-0.5,0.666666667,0,1,,,,,5,,,,,,,,,,,,,12,,,,,,,,,,,neither,KO/TKO,Kick,3,2:44,764,123,220,806,1175,765,675,2364
Jason Saggo,Leandro Silva,-115,-105,86.95652174,95.23809524,6/18/2016,"Ottawa, Ontario, Canada", Canada,Red,FALSE,Lightweight,MALE,3,0,2,0,28,0.535,0.5,1.666666667,0.395,2,3,15,0,0,0,2,0,1,0,3,Orthodox,175.26,182.88,155,0,1,0,19.66666667,0.52,0,2.666666667,0.343333333,1,1,5,0,0,0,0,2,0,0,2,Orthodox,180.34,180.34,155,30,30,0,1,1,1,-2,10,0,-2,1,-5.08,2.54,0,8.33333333,0.5,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3,5:00,900,179,195,545,950,800,539,2363
Misha Cirkunov,Ion Cutelaba,-220,180,45.45454545,180,6/18/2016,"Ottawa, Ontario, Canada", Canada,Red,FALSE,Light Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,185.42,190.5,205,0,2,0,28,0.66,0.5,3,0.625,2,0,3,0,0,0,0,1,1,0,2,Orthodox,190.5,195.58,205,29,22,0,-2,-2,-2,0,-3,0,-1,-1,-5.08,-5.08,7,-28,-0.5,-3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Arm Triangle,3,1:22,682,450,1108,205,655,280,250,2362
Tamdan McCrory,Krzysztof Jotko,-170,150,58.82352941,150,6/18/2016,"Ottawa, Ontario, Canada", Canada,Blue,FALSE,Middleweight,MALE,3,0,3,0,40.6,0.484,0,1.2,0.382,3,1,14,0,0,1,3,0,0,0,4,Southpaw,185.42,195.58,185,0,1,0,20.28571429,0.524285714,1.571428571,1.571428571,0.4,1,3,15,0,0,0,1,1,2,0,4,Switch,193.04,198.12,185,29,26,0,2,2,0,2,-1,0,-1,-2,-7.62,-2.54,3,20.31428571,-1.571428571,-0.371428571,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,0:59,59,275,249,200,983,664,1125,2361
Chris Beal,Joe Soto,105,-125,105,80,6/18/2016,"Ottawa, Ontario, Canada", Canada,Blue,FALSE,Bantamweight,MALE,3,3,0,0,44.66666667,0.35,1.333333333,0.333333333,0.11,0,3,9,1,0,0,0,0,0,0,0,Orthodox,167.64,165.1,135,2,0,0,37.5,0.3575,0.25,1.75,0.4375,2,2,11,0,0,0,1,1,0,0,2,Orthodox,170.18,175.26,125,30,29,-1,0,-2,-2,-1,-2,1,-1,0,-2.54,-10.16,1,7.16666667,1.083333333,-1.416666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,3,3:39,819,165,240,1825,371,435,925,2360
Elias Theodorou,Sam Alvey,-235,195,42.55319149,195,6/18/2016,"Ottawa, Ontario, Canada", Canada,Red,FALSE,Middleweight,MALE,3,1,0,0,20.8,0.56,0,0,0,3,2,7,0,0,0,0,3,0,0,3,Southpaw,187.96,190.5,205,1,0,0,45.75,0.4325,0,2.25,0.4975,3,1,10,1,0,0,1,2,0,0,3,Orthodox,185.42,190.5,185,28,30,0,0,0,0,-1,-3,-1,1,0,2.54,0,-2,-24.95,0,-2.25,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,-114,536,1005,1655,510,345,2359
Randa Markos,Jocelyn Jones-Lybarger,-115,-105,86.95652174,95.23809524,6/18/2016,"Ottawa, Ontario, Canada", Canada,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,29,0.27,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,162.56,115,1,0,0,35.66666667,0.403333333,0.333333333,1.333333333,0.37,1,2,9,0,0,0,1,0,0,0,1,Orthodox,162.56,160.02,115,30,30,0,0,-1,-1,1,-6,0,0,0,7.62,2.54,0,-6.66666667,-0.333333333,-1.333333333,0,1,,14,,,14,,,,,,,,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,122,185,404,1775,1450,1050,2358
Colby Covington,Jonathan Meunier,-235,195,42.55319149,195,6/18/2016,"Ottawa, Ontario, Canada", Canada,Red,FALSE,Welterweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,190.5,190.5,170,1,0,0,15.5,0.6275,0.25,2.5,0.5275,3,1,8,0,0,0,1,1,1,0,3,Orthodox,180.34,182.88,170,28,28,1,0,-3,-3,1,-8,0,-1,-1,10.16,7.62,0,-15.5,-0.25,-2.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,3,0:54,654,141,405,270,1335,600,670,2357
Ali Bagautinov,Geane Herrera,-260,220,38.46153846,220,6/18/2016,"Ottawa, Ontario, Canada", Canada,Red,FALSE,Flyweight,MALE,3,0,1,0,23.5,0.43,0,0.5,0.5,1,1,5,0,0,0,0,1,0,0,1,Orthodox,165.1,167.64,125,2,0,0,39.4,0.38,0.4,2.4,0.302,3,2,17,1,0,0,2,1,0,0,3,Orthodox,162.56,165.1,125,31,26,2,1,-2,-2,1,-12,-1,0,0,2.54,2.54,5,-15.9,-0.4,-1.9,0,1,,10,,,,,,,,,,,,10,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,-113,405,1115,1050,390,1200,2356
